# Author: Squire, M. & Gazda, R.
# License: Open Database License 1.0
# This data 2014LTinsultsLKML.tsv.txt is made available under the 
# Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. 
# Any rights in individual contents of the database are licensed under the 
# Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/ 
#
# filename: 2014LTinsultsLKML.tsv.txt
# explanation: 
# This data set is part of a larger group of data sets
# described in the paper below, and hosted on the FLOSSmole.org site. 
# Contains insults gleaned from messages sent to the LKML mailing list by 
# Linus Torvalds during the year 2014
#
# fields:
# date: this is the date the original email was sent
# markmail permalink: this is a permalink to the email on markmail (for easy reading)
# type: this is our code for what type of insult this is
# mail excerpt: this is the fragment of the email containing the insult(s). 
# Ellipses (...) have been added where necessary.
#
# Please cite the paper and FLOSSmole as follows:
#
# Citations:
# Squire, M. & Gazda, R. (2015). FLOSS as a source for profanity 
# and insults: Collecting the data. In Proceedings of 48th 
# Hawai'i International Conference on System 
# Sciences (HICSS-48). IEEE. Hawaii, USA. 5290-5298.
#
# Howison, J., Conklin, M., & Crowston, K. (2006). FLOSSmole: A 
# collaborative repository for FLOSS research data and analyses. 
# International Journal of Information Technology and Web 
# Engineering, 1(3), 17–26.
# 
date	markmail permalink	type(code, personal, both, unsure)	mail excerpt
1/6/2014 21:25:34	http://markmail.org/message/n3enavikpanbpb2g	C	This looks completely broken to me. ... Wtf? Am I missing something?
1/9/2014 15:53:18	http://markmail.org/message/u7ygpolgnjcnea2t	C	Yeah, it's a hack, and it's wrong, and we should figure out how to do it right.
1/17/2014 17:28:49	http://markmail.org/message/tlfqf2fwnayq3rn6	C	Yes, yes, it may "work", but I'm not pulling that kind of hack just before a release....But dammit, using this kind of hackery, ... is just not acceptable.
1/21/2014 10:11:14	http://markmail.org/message/qp4kumio6pxploxd	B	The fact that it doesn't even compile makes me doubt your statement that it has been in linux-next. ... I fixed it up properly in the merge, but please try to figure out how the hell this passed through the cracks.
1/21/2014 17:50:47	http://markmail.org/message/5rpvx3sf2wcvzrf4	S	You messed up the pull request too.. The branch name is missing from that git line, even if you did mention it a few lines earlier...
1/21/2014 18:46:44	http://markmail.org/message/i32holblxwzsml7q	B	Adding Andrea to the Cc, because he's the author of that horridness. Putting Steven's test-case here as an attachement for Andrea, maybe that makes him go "Ahh, yes, silly case". Also added Kirill, because he was involved the last _PAGE_NUMA debacle.
1/22/2014 10:23:43	http://markmail.org/message/f4xaietzxxp4sziz	C	It's misleading crap. Really. Just do a quick grep for that bit, and you see just *how* confused people are about it:...think about it. Just *THINK* about how broken that code is. The whole thing is a disaster. _PAGE_NUMA must die. It's shit.
1/26/2014 14:27:52	http://markmail.org/message/uk2l2qvdklmg57ok	C	This was obviously brought on by my frustration with the currently nasty do_notify_resume() always returning to iret for the task_work case, and PeterZ's patch that fixed that, but made the asm mess even *worse*.
1/28/2014 9:12:21	http://markmail.org/message/lsyehokft5zpedb6	B	But dammit, if you build with debug_info and then strip the end result, you're just insane. You made your build take ten times longer, use ten times more diskspace, and then you throw it all away. Crazy.
1/28/2014 12:24:52	http://markmail.org/message/njkznzxzq4hstqfa	P	If most of the oopses you decode are on your own machine with your own kernel, you might want to try to learn to be more careful when writing code. And I'm not even kidding.
